Timestamp,"Considerando sua última experiência com essas características, ela foi Obrigatória ou Opcional?",Qual é a sua idade?,Com qual gênero você se identifica?,Em que Estado você reside? ,Qual é o seu mais alto grau de instrução?,Qual seu tempo total de experiência na engenharia de software?,Qual das alternativas abaixo descreve seu nível profissional atual?,Quantos funcionários a empresa possui? ,Qual é a sua principal área de atuação na engenharia de software no momento? , [Entendi como o experiência de aprendizado se conectou com os objetivos da empresa.]," [Tive o apoio e os recursos necessários (tempo, tecnologia, suporte) da empresa para realizar esta experiência de aprendizado.]", [O conteúdo da experiência de aprendizado atendeu às necessidades da minha função.], [O conteúdo da experiência de aprendizado foi adaptado ao meu nível de experiência.], [Minha opinião foi considerada na criação da experiência de aprendizado que participei.]," [A carga horária desta experiência de aprendizado prejudicou meu tempo pessoal (descanso, vida social).]", [A experiência de aprendizado foi importante para me manter competitivo(a) no mercado.], [O que aprendi na experiência de aprendizado me motivou a buscar novos conhecimentos.], [A liderança da minha área incentivou ativamente minha participação na experiência de aprendizado.], [Tive tempo suficiente durante o expediente para participar da experiência de aprendizado e estudar.], [Participei desta experiência de aprendizado mais por obrigação do que por interesse no conteúdo.]," [A empresa ofereceu incentivos claros para a participação nesta experiência de aprendizado (ex: bônus, folgas, ressarcimento de custos, pontuação em avaliação de desempenho).]"," [A empresa costuma reconhecer os funcionários que se desenvolvem e concluem treinamentos (ex: através de certificados, elogios públicos, comunicados).]", [A experiência de aprendizado que participei foi bem organizado e estruturado.], [Os materiais que recebi para a experiência de aprendizado foram úteis.], [O ambiente da experiência de aprendizado (físico ou virtual) foi adequado para o aprendizado.], [A explicação do instrutor foi clara e fácil de entender.], [A atuação do instrutor foi fundamental para o meu aprendizado e motivação.], [As atividades durante a experiência de aprendizado foram interessantes e variadas.], [A experiência de aprendizado continha uma parte relevante dedicada ao desenvolvimento de soft skills (habilidades comportamentais).], [Fiquei satisfeito(a) com a qualidade da experiência de aprendizado que participei.], [A experiência de aprendizado me ajudou a desenvolver meu raciocínio para resolver problemas.], [Aplicar o que aprendi na experiência de aprendizado melhorou meu desempenho.], [Consigo aplicar no meu trabalho o que aprendi na experiência de aprendizado.], [O que aprendi na experiência de aprendizado me deu mais autonomia no trabalho.], [O suporte da minha liderança foi um incentivo para eu aplicar o que aprendi.], [A experiência de aprendizado que realizei abriu oportunidades de crescimento na empresa (promoção ou aumento salarial).],Qual foi a experiência de aprendizado mais útil que você já fez? Por quê?,"Se você pudesse sugerir uma melhoria nos processos de aprendizado, qual seria?",Column 39,Soube quem na sua empresa foi o responsável por organizar a experiência de aprendizado.,"Exite alguma coisa que vocês gostaria de comentar e não teve oportuni-
dade sobre o tema?"
9/9/2025 9:23:27,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",33,Masculino,Pernambuco (PE),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Entre 3 e 4 anos.,Pleno,100 ou mais funcionários (Grande empresa),Desenvolvimento,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Neutro,Concordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Neutro,"O mestrado, embora não diretamente relacionado à área de engenharia de software, me ajudou a ampliar os horizontes conceituais sobre muitos temas e a ter uma visão prática e hands-on sobre como é construída a pesquisa científica",Mais interação com os instrutores e turmas menores,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/9/2025 9:32:03,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",24,Masculino,Pernambuco (PE),Ensino Superior completo,Entre 5 e 6 anos.,Pleno,De 50 a 99 funcionários (Média empresa),Desenvolvimento,Concordo,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Discordo,Concordo,Concordo totalmente,Concordo,Neutro,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Neutro,Neutro,Concordo,Neutro,Concordo,Neutro,Concordo,Concordo totalmente,Concordo,Neutro,Neutro,,,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/9/2025 9:36:29,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",26,Masculino,Pernambuco (PE),"Pós-graduação incompleta (Especialização, Mestrado ou Doutorado)",Entre 1 e 2 anos.,Pleno,De 50 a 99 funcionários (Média empresa),Desenvolvimento,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Discordo,Discordo totalmente,Concordo,Discordo,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Neutro,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Neutro,A faculdade de Análise e Desenvolvimento de Sistemas. Por ter me permitido entrar na área através de um estágio.,Foco no prático. Atividades com um objetivo claro e concreto a ser implementado seja um software ou uma documentação,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/9/2025 9:38:32,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",43,Masculino,São Paulo (SP),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Entre 3 e 4 anos.,Júnior,100 ou mais funcionários (Grande empresa),DevOps,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Neutro,Discordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Neutro,Concordo,Neutro,Concordo totalmente,Neutro,"Participação em eventos, pois permite entrar em contato com profissionais de outras empresas e trocar experiências ","Cursos bem feitos, com conteúdos adequados",Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/9/2025 9:39:23,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",26,Feminino,Pernambuco (PE),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Entre 3 e 4 anos.,Sênior,100 ou mais funcionários (Grande empresa),Design (UI/UX),Concordo totalmente,Concordo,Neutro,Concordo totalmente,Discordo totalmente,Discordo totalmente,Concordo,Concordo,Concordo totalmente,Concordo,Discordo,Discordo totalmente,Concordo,Discordo,Concordo,Concordo,Discordo,Discordo totalmente,Discordo,Discordo totalmente,Discordo,Discordo totalmente,Discordo,Concordo,Discordo totalmente,Discordo totalmente,Discordo totalmente,"Nenhum veio de empresas. E desacredito que qualquer conteúdo elaborado por empresas é de fato de boa qualidade ou essencial.

O melhor curso que fiz foi em DesignOps. Colocou-me como estrategista, para além de designer. Mas infelizmente as empresas não estão totalmente preparadas pra receber pessoas como nós.",Prefiro que a empresa pague uma escola e forneça acesso aos colaboradores do que crie algo local por conta própria.,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/9/2025 9:46:35,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",30,Masculino,Pernambuco (PE),"Pós-graduação incompleta (Especialização, Mestrado ou Doutorado)",Entre 1 e 2 anos.,Pleno,De 10 a 49 funcionários (Pequena empresa),DevOps,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo totalmente,Concordo,Concordo,Concordo,Discordo totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo,"Uma das experiências de aprendizado mais úteis que tive foi quando comecei a estudar cybersecurity sozinho. No início achei muito difícil, mas aprendi a pesquisar, testar soluções e lidar com erros. Isso me mostrou que a persistência e a prática constante são fundamentais para dominar qualquer assunto.","Eu sugeriria que os processos de aprendizado fossem mais baseados em prática real. Muitas vezes recebemos treinamentos teóricos, mas só fixamos quando aplicamos no dia a dia. Se os programas de capacitação incluíssem simulações, laboratórios práticos ou desafios reais de projeto.",Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/9/2025 10:10:44,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",29,Masculino,Pernambuco (PE),Ensino Superior completo,Entre 7 e 8 anos.,Sênior,De 50 a 99 funcionários (Média empresa),Desenvolvimento,Concordo,Neutro,Concordo,Concordo,Concordo,Neutro,Concordo,Neutro,Neutro,Discordo,Discordo,Neutro,Neutro,Neutro,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Neutro,Neutro,Neutro,Neutro,Discordo,,,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/9/2025 10:12:04,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",24,Masculino,Santa Catarina (SC),Ensino Médio completo,Entre 5 e 6 anos.,Sênior,De 10 a 49 funcionários (Pequena empresa),Desenvolvimento,Concordo totalmente,Concordo totalmente,Concordo totalmente,Neutro,Neutro,Neutro,Concordo totalmente,Concordo totalmente,Concordo,Neutro,Discordo,Discordo,Neutro,Neutro,Concordo totalmente,Concordo totalmente,Neutro,Neutro,Concordo,Neutro,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Neutro,Certificação de serviços em núvem. Relevante para a empresa atual e para o mercado de trabalho.,"Tenho alguns pensamentos sobre processos de aprendizados quando são indicados pela empresa atual de um funcionário. 

O trabalho consome muita energia, por isso deve haver incentivos concretos para dedicar-se a aprender algo novo. 

O conhecimento que se obtém em uma experiência de aprendizado indicada pela empresa nem sempre esta alinhado aos planos de carreira do funcionário, mas provavelmente se trata de algo na mesma indústria. Mesmo estando na mesma indústria, promessas rasas de 'visibilidade' dentro da empresa para ganhar um aumento ou promoção (que muitas vezes  não se concretizam) não são o suficiente para engajar as pessoas envolvidas no treinamento.

Quando eu estive nesse cenário, acabei vendo que a falta de incentivos causou uma desmotivação geral. Quem fez, ganhou promessas. Quem não fez ou parou no caminho, se sente desvalorizado na empresa, visto que isso não é uma 'boa' visibilidade para o funcionário. O resultado é um treinamento que agregou conhecimento para quem foi até o final, mas que acabou desmotivando os funcionários da empresa.",Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/9/2025 10:13:05,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",22,Feminino,Pernambuco (PE),Ensino Superior completo,Até um ano.,Em treinamento,De 10 a 49 funcionários (Pequena empresa),Desenvolvimento,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Concordo,Discordo,Concordo,Neutro,Concordo,Concordo,Discordo totalmente,Neutro,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Neutro,"Treinamento em SQL, por me aprofundar em uma tecnologia que eu utilizo diariamente.",,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/9/2025 10:15:21,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",28,Feminino,Pernambuco (PE),"Pós-graduação incompleta (Especialização, Mestrado ou Doutorado)",Entre 7 e 8 anos.,Sênior,100 ou mais funcionários (Grande empresa),Desenvolvimento,Concordo totalmente,Discordo,Concordo,Concordo,Concordo totalmente,Neutro,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo,Discordo totalmente,Concordo,"minha pos graduação, porque me está me abrindo novas oportunidades e crescimento",acredito que a inclusão de casos reais durante o processo é uma otima melhoria,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
