Dimensão,Item,Alpha_se_removido
Impacto e Aplicação,Q7,0.9177
Impacto e Aplicação,Q8,0.9004
Impacto e Aplicação,Q22,0.8987
Impacto e Aplicação,Q23,0.8933
Impacto e Aplicação,Q24,0.9122
Impacto e Aplicação,Q25,0.8993
Qualidade Instrucional,Q14,0.9146
Qualidade Instrucional,Q15,0.9125
Qualidade Instrucional,Q16,0.9154
Qualidade Instrucional,Q17,0.9159
Qualidade Instrucional,Q18,0.9112
Qualidade Instrucional,Q19,0.9122
Qualidade Instrucional,Q21,0.908
Suporte Organizacional,Q9,0.7751
Suporte Organizacional,Q10,0.7689
Suporte Organizacional,Q12,0.7602
Suporte Organizacional,Q13,0.7127
Suporte Organizacional,Q26,0.7229
Suporte Organizacional,Q27,0.7505
Personalização e Conteúdo,Q3,0.7415
Personalização e Conteúdo,Q4,0.7259
Personalização e Conteúdo,Q5,0.7028
Personalização e Conteúdo,Q20,0.752
Contexto e Recursos,Q1,0.273
Contexto e Recursos,Q2,0.2189
Contexto e Recursos,Q6,0.6098
