socio_label,q_label,test_type,test_stat,p_value,effect_size,effect_label
Obrig./Opcional,Q1,kruskal,5.2687,0.021712,0.0187,pequeno
Obrig./Opcional,Q3,kruskal,25.3003,0.0,0.09,médio
Obrig./Opcional,Q4,kruskal,10.6465,0.001103,0.0379,pequeno
Obrig./Opcional,Q5,kruskal,24.0252,1e-06,0.0855,médio
Obrig./Opcional,Q7,kruskal,29.9825,0.0,0.1067,médio
Obrig./Opcional,Q8,kruskal,32.8244,0.0,0.1168,médio
Obrig./Opcional,Q10,kruskal,5.679,0.017169,0.0202,pequeno
Obrig./Opcional,Q11,kruskal,67.3367,0.0,0.2396,grande
Obrig./Opcional,Q12,kruskal,16.8235,4.1e-05,0.0599,pequeno
Obrig./Opcional,Q13,kruskal,8.6461,0.003278,0.0308,pequeno
Obrig./Opcional,Q14,kruskal,7.2832,0.00696,0.0259,pequeno
Obrig./Opcional,Q15,kruskal,13.8975,0.000193,0.0495,pequeno
Obrig./Opcional,Q16,kruskal,4.2416,0.039445,0.0151,pequeno
Obrig./Opcional,Q17,kruskal,4.8168,0.028184,0.0171,pequeno
Obrig./Opcional,Q18,kruskal,26.6807,0.0,0.0949,médio
Obrig./Opcional,Q19,kruskal,24.7369,1e-06,0.088,médio
Obrig./Opcional,Q20,kruskal,16.441,5e-05,0.0585,pequeno
Obrig./Opcional,Q21,kruskal,40.7291,0.0,0.1449,grande
Obrig./Opcional,Q22,kruskal,34.7335,0.0,0.1236,médio
Obrig./Opcional,Q23,kruskal,26.7885,0.0,0.0953,médio
Obrig./Opcional,Q24,kruskal,9.9847,0.001578,0.0355,pequeno
Obrig./Opcional,Q25,kruskal,17.1933,3.4e-05,0.0612,médio
Obrig./Opcional,Q26,kruskal,21.8638,3e-06,0.0778,médio
Obrig./Opcional,Q27,kruskal,19.9167,8e-06,0.0709,médio
Idade,Q6,spearman,0.1475,0.013137,0.1475,pequeno
Estado,Q7,kruskal,22.4698,0.048496,0.0829,médio
Estado,Q10,kruskal,30.3999,0.004123,0.1122,médio
Experiência,Q14,kruskal,11.3346,0.045135,0.0411,pequeno
Experiência,Q15,kruskal,13.5451,0.018773,0.0491,pequeno
Experiência,Q23,kruskal,18.7294,0.002158,0.0679,médio
Experiência,Q25,kruskal,18.0411,0.002895,0.0654,médio
Nível Prof.,Q27,kruskal,13.3764,0.020095,0.0478,pequeno
Área Atuação,Q8,kruskal,14.3712,0.04496,0.0517,pequeno
Área Atuação,Q20,kruskal,22.7939,0.001851,0.082,médio
