questao,short_label,n_obrig,n_opcional,media_obrig,media_opcional,diff_opcional_obrig,H,p_valor,significancia
Q11,Obrigação acima do interesse,76,206,3.394737,1.898058,-1.496679,67.336688,0.000000,***
Q22,Resolução de problemas,76,206,2.973684,3.941748,0.968063,34.733457,0.000000,***
Q7,Competitividade no mercado,76,206,3.092105,4.058252,0.966147,29.982534,0.000000,***
Q8,Motivação para aprender,76,206,3.171053,4.097087,0.926035,32.824407,0.000000,***
Q5,Consideração da opinião,76,206,2.578947,3.480583,0.901635,24.025184,0.000001,***
Q21,Satisfação geral,76,206,3.250000,4.135922,0.885922,40.729087,0.000000,***
Q23,Melhora de desempenho,76,206,3.013158,3.825243,0.812085,26.788543,0.000000,***
Q12,Incentivos tangíveis,76,206,2.381579,3.145631,0.764052,16.823533,0.000041,***
Q26,Suporte à aplicação,76,206,2.750000,3.504854,0.754854,21.863786,0.000003,***
Q27,Oportunidades de crescimento,76,206,2.302632,3.053398,0.750766,19.916746,0.000008,***
Q20,Foco em Soft Skills,76,206,2.828947,3.577670,0.748723,16.441016,0.000050,***
Q18,Atuação do instrutor,76,206,3.250000,3.970874,0.720874,26.680659,0.000000,***
Q19,Atividades variadas,76,206,3.289474,4.004854,0.715381,24.736900,0.000001,***
Q3,Relevância para a função,76,206,3.421053,4.121359,0.700307,25.300345,0.000000,***
Q25,Aumento de autonomia,76,206,3.000000,3.674757,0.674757,17.193298,0.000034,***
Q4,Adaptação ao nível,76,206,3.000000,3.601942,0.601942,10.646459,0.001103,**
Q13,Reconhecimento,76,206,2.894737,3.407767,0.513030,8.646120,0.003278,**
Q24,Aplicabilidade prática,76,206,3.513158,3.975728,0.462570,9.984735,0.001578,**
Q15,Materiais úteis,76,206,3.618421,4.077670,0.459249,13.897504,0.000193,***
Q10,Tempo no expediente,76,206,3.026316,3.451456,0.425141,5.678989,0.017169,*
Q1,Conexão com objetivos,76,206,3.921053,4.286408,0.365355,5.268713,0.021712,*
Q14,Organização e estrutura,76,206,3.763158,4.116505,0.353347,7.283206,0.006960,**
Q2,Apoio e recursos,76,206,3.657895,3.985437,0.327542,3.585759,0.058277,ns
Q17,Clareza do instrutor,76,206,3.921053,4.169903,0.248850,4.816766,0.028184,*
Q16,Ambiente adequado,76,206,3.934211,4.160194,0.225984,4.241620,0.039445,*
Q6,Prejuízo ao tempo pessoal,76,206,2.552632,2.441748,-0.110884,0.398339,0.527948,ns
Q9,Incentivo da liderança,76,206,3.907895,3.883495,-0.024400,0.033571,0.854623,ns
